siteid,source,total_occ,geo,make,location,GMToffset
10292,"Ecotope",4,"Renton, WA","AirGen 66gal ducted","Basement",8
10441,"Ecotope",3,"Woodland, WA","AO Smith Voltex 60gal","Basement",8
11219,"Ecotope",2,"Tacoma, WA","AirGen 66gal ducted","Garage",8
11289,"Ecotope",2,"Seattle, WA","AO Smith Voltex 60gal","Basement",8
11531,"Ecotope",3,"Kent, WA","AO Smith Voltex 60gal","Garage",8
13265,"Ecotope",2,"Everett, WA","AO Smith Voltex 60gal","Garage",8
13438,"Ecotope",3,"Seattle, WA","AO Smith Voltex 60gal","Basement",8
20814,"Ecotope",5,"Vancouver, WA","AO Smith Voltex 80gal","Garage",8
21578,"Ecotope",2,"Vancouver, WA","AO Smith Voltex 80gal","Garage",8
21723,"Ecotope",1,"Ephrata, WA","GE GeoSpring 50gal","Interior",8
22096,"Ecotope",3,"Rigby, ID","AO Smith Voltex 60gal","Interior",7
22897,"Ecotope",2,"Vancouver, WA","AO Smith Voltex 80gal","Garage",8
23544,"Ecotope",3,"Idaho Falls, ID","GE GeoSpring 50gal","Basement",7
23666,"Ecotope",2,"Ephrata, WA","AO Smith Voltex 60gal","Interior",8
23744,"Ecotope",1,"Spokane, WA","AO Smith Voltex 60gal","Interior",8
23860,"Ecotope",2,"Sisters, OR","AO Smith Voltex 80gal","Interior",8
24339,"Ecotope",2,"Mead, WA","AirGen 66gal ducted","Interior",8
90003,"Ecotope",4,"Seattle, WA","AirGen 66gal ducted","Basement",8
90012,"Ecotope",2,"Bend, OR","GE GeoSpring 50gal","Basement",8
90015,"Ecotope",3,"Eugene, OR","AO Smith Voltex 60gal","Basement",8
90023,"Ecotope",4,"Seattle, WA","AO Smith Voltex 80gal","Interior",8
90028,"Ecotope",2,"Spokane, WA","AO Smith Voltex 60gal","Interior",8
90030,"Ecotope",1,"Spokane, WA","AO Smith Voltex 60gal ducted","Basement",8
90034,"Ecotope",7,"Bend, OR","AO Smith Voltex 80gal","Garage",8
90050,"Ecotope",2,"Spokane, WA","AO Smith Voltex 60gal","Garage",8
90051,"Ecotope",5,"Spokane Valley, WA","AO Smith Voltex 80gal","Basement",8
90063,"Ecotope",2,"Spokane Valley, WA","GE GeoSpring 50gal","Basement",8
90067,"Ecotope",1,"Redmond, OR","GE GeoSpring 50gal","Garage",8
90069,"Ecotope",5,"Cheney, WA","AO Smith Voltex 80gal ducted","Interior",8
90093,"Ecotope",2,"Seattle, WA","GE GeoSpring 50gal","Basement",8
90105,"Ecotope",2,"Seattle, WA","GE GeoSpring 50gal","Interior",8
90129,"Ecotope",2,"Seattle, WA","GE GeoSpring 50gal","Basement",8
90130,"Ecotope",4,"Bend, OR","AO Smith Voltex 80gal","Interior",8
90131,"Ecotope",5,"Redmond, OR","AO Smith Voltex 80gal","Garage",8
90134,"Ecotope",6,"Bend, OR","GE GeoSpring 50gal","Interior",8
90135,"Ecotope",2,"Bend, OR","AO Smith Voltex 60gal","Garage",8
90149,"Ecotope",2,"Bend, OR","AirGen 66gal unducted","Garage",8
90153,"Ecotope",2,"Kalispell, MT","GE GeoSpring 50gal","Interior",7
90159,"Ecotope",4,"Corvallis, MT","AO Smith Voltex 60gal","Interior",7
90162,"Ecotope",2,"Idaho Falls, ID","AirGen (Post Apr2013) 66gal ducted","Basement",7
90166,"Ecotope",2,"Idaho Falls, ID","AirGen (Post Apr2013) 66gal ducted","Basement",7
90168,"Ecotope",2,"Idaho Falls, ID","AirGen (Post Apr2013) 66gal ducted","Basement",7
90169,"Ecotope",2,"Idaho Falls, ID","AirGen (Post Apr2013) 66gal ducted","Basement",7
90253,"Ecotope",4,"Sisters, OR","GE GeoSpring 50gal","Garage",8
92602,"Ecotope",2,"Polson, MT","AirGen (Post Apr2013) 66gal ducted","Basement",7
92661,"Ecotope",3,"St Ignatius, MT","AirGen (Post Apr2013) 66gal ducted","Garage",7
92690,"Ecotope",5,"Idaho Falls, ID","AirGen (Post Apr2013) 66gal ducted","Basement",7
92719,"Ecotope",2,"Polson, MT","AirGen (Post Apr2013) 66gal ducted","Basement",7
92828,"Ecotope",3,"Idaho Falls, ID","AirGen (Post Apr2013) 66gal ducted","Basement",7
92887,"Ecotope",3,"Polson, MT","AirGen (Post Apr2013) 66gal ducted","Basement",7
