,Flow_99122-00355,Flow_99065-00842,Flow_99086-00484,Flow_99122-00702,Flow_99103-00900,Flow_99106-00471,Flow_99240-00456,Flow_99088-00235,Flow_99087-00206,Flow_99098-00351
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,117.17999999999999
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,56.699999999999996,22.68
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.24,0.0,11.34
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0
7,30.24,0.0,0.0,18.9,0.0,0.0,0.0,56.699999999999996,11.34,0.0
8,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0
9,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0
11,18.9,0.0,0.0,3.78,0.0,0.0,0.0,3.78,3.78,64.25999999999999
12,45.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.24,0.0
13,0.0,0.0,0.0,26.459999999999997,0.0,0.0,0.0,0.0,26.459999999999997,52.919999999999995
14,3.78,0.0,0.0,11.34,0.0,0.0,0.0,0.0,3.78,60.48
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,3.78
16,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,26.459999999999997,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.24,0.0
18,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,26.459999999999997
19,3.78,0.0,0.0,3.78,0.0,0.0,0.0,0.0,3.78,0.0
20,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,26.459999999999997
22,0.0,0.0,64.25999999999999,34.019999999999996,0.0,0.0,0.0,11.34,0.0,30.24
23,0.0,0.0,64.25999999999999,49.14,0.0,0.0,0.0,0.0,0.0,15.12
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,60.48,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0
30,30.24,0.0,0.0,0.0,0.0,0.0,0.0,15.12,0.0,0.0
31,3.78,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,0.0
32,0.0,0.0,0.0,22.68,0.0,0.0,0.0,41.58,0.0,0.0
33,3.78,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0
34,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,34.019999999999996,0.0
35,3.78,0.0,124.74,0.0,0.0,0.0,0.0,0.0,3.78,0.0
36,0.0,0.0,7.56,7.56,0.0,0.0,0.0,0.0,0.0,37.8
37,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,7.56
38,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0
39,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.14,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
41,11.34,0.0,0.0,15.12,0.0,0.0,0.0,0.0,0.0,68.03999999999999
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.12
43,0.0,0.0,0.0,15.12,0.0,0.0,0.0,0.0,3.78,0.0
44,3.78,0.0,0.0,102.05999999999999,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,75.6,3.78,0.0,0.0,0.0,7.56,0.0,3.78
46,0.0,0.0,0.0,7.56,0.0,0.0,0.0,3.78,0.0,3.78
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,3.78,18.9
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.699999999999996,0.0,0.0
51,0.0,0.0,68.03999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,45.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3.78,0.0,0.0,18.9,0.0,0.0,0.0,11.34,0.0,0.0
56,7.56,0.0,0.0,3.78,0.0,0.0,0.0,102.05999999999999,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0
58,56.699999999999996,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0
59,34.019999999999996,0.0,0.0,3.78,0.0,0.0,0.0,0.0,7.56,0.0
60,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,3.78,0.0
61,0.0,0.0,0.0,41.58,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,34.019999999999996
63,3.78,0.0,120.96,7.56,0.0,0.0,0.0,0.0,0.0,15.12
